[2024-05-24 22:11:32] No settings files found: C:/Users/Rodio/Desktop/Mindustry Server/config/settings.bin and C:/Users/Rodio/Desktop/Mindustry Server/config/settings_backup.bin
[2024-05-24 22:11:36] Saving 2 values; 44 bytes
[2024-05-24 22:12:36] Saving 2 values; 44 bytes
[2024-05-24 22:13:36] Saving 2 values; 44 bytes
[2024-05-24 22:14:36] Saving 2 values; 44 bytes
[2024-05-24 22:15:36] Saving 2 values; 44 bytes
[2024-05-24 22:16:05] Saving 3 values; 77 bytes
[2024-05-24 22:16:36] Saving 3 values; 77 bytes
[2024-05-24 22:16:44] Saving 3 values; 75 bytes
[2024-05-24 22:17:36] Saving 3 values; 75 bytes
[2024-05-24 22:18:36] Saving 3 values; 75 bytes
[2024-05-24 22:19:36] Saving 3 values; 75 bytes
[2024-05-24 22:20:36] Saving 3 values; 75 bytes
[2024-05-24 22:21:15] Saving 3 values; 75 bytes
[2024-05-24 22:21:15] Saving 4 values; 102 bytes
[2024-05-24 22:21:16] Saving 4 values; 102 bytes
[2024-05-24 22:21:36] Saving 4 values; 102 bytes
[2024-05-24 22:22:36] Saving 4 values; 102 bytes
[2024-05-24 22:23:36] Saving 4 values; 102 bytes
[2024-05-24 22:24:36] Saving 4 values; 102 bytes
[2024-05-24 22:25:36] Saving 4 values; 102 bytes
[2024-05-24 22:26:36] Saving 4 values; 102 bytes
[2024-05-24 22:27:30] Saving 4 values; 102 bytes
[2024-05-24 22:27:30] Saving 4 values; 101 bytes
[2024-05-24 22:27:30] Saving 4 values; 101 bytes
[2024-05-24 22:27:36] Saving 4 values; 101 bytes
[2024-05-24 22:28:36] Saving 4 values; 101 bytes
[2024-05-24 22:29:21] Saving 4 values; 101 bytes
[2024-05-24 22:29:21] Saving 4 values; 101 bytes
[2024-05-24 22:29:22] Saving 4 values; 101 bytes
[2024-05-24 22:29:36] Saving 4 values; 101 bytes
[2024-05-24 22:30:25] Saving 4 values; 101 bytes
[2024-05-24 22:30:25] Saving 4 values; 101 bytes
[2024-05-24 22:30:26] Saving 4 values; 101 bytes
[2024-05-24 22:30:36] Saving 9 values; 437 bytes
[2024-05-24 22:31:17] Saving 788 values; 25147 bytes
[2024-05-24 22:31:30] Saving 788 values; 25147 bytes
[2024-05-24 22:31:30] Saving 788 values; 25147 bytes
[2024-05-24 22:31:36] Saving 788 values; 25147 bytes
[2024-05-24 22:32:36] Saving 788 values; 25155 bytes
[2024-05-24 22:33:36] Saving 788 values; 25155 bytes
[2024-05-24 22:34:36] Saving 788 values; 25155 bytes
[2024-05-24 22:34:49] Saving 788 values; 25155 bytes
[2024-05-24 22:34:51] Saving 788 values; 25155 bytes
[2024-05-24 22:36:13] Loaded 788 values
[2024-05-24 22:36:13] Backed up config/settings.bin to config/settings_backup.bin (25155 bytes)
[2024-05-24 22:36:17] Saving 788 values; 25155 bytes
[2024-05-24 22:36:24] Loaded 788 values
[2024-05-24 22:36:24] Backed up config/settings.bin to config/settings_backup.bin (25155 bytes)
[2024-05-24 22:36:28] Saving 788 values; 25155 bytes
